fogground,snowfall,dust,snowdepth,mist,drizzle,hail,fastest2minwindspeed,thunder,glaze,snow,ice,fog,temperaturemin,fastest5secwindspeed,freezingfog,temperaturemax,blowingsnow,freezingrain,rain,highwind,date,precipitation,fogheavy,smokehaze,avgwindspeed,fastest2minwinddir,fastest5secwinddir
No,0,No,0,No,No,No,12.08,No,No,No,No,No,37.9,19.91,No,53.1,No,No,No,No,2014-02-05,0.06,No,No,4.7,240,250
No,0,No,0,No,No,No,10.07,No,No,No,No,No,31.1,18.12,No,42.1,No,No,No,No,2014-02-06,0,No,No,3.58,50,330
No,0,No,0,No,No,No,8.95,No,No,No,No,No,34,17,No,50,No,No,No,No,2014-02-08,0,No,No,2.46,70,90
No,0,No,0,No,No,No,12.97,No,No,No,No,Yes,35.1,16.11,No,43,No,No,No,No,2014-02-10,0.08,No,No,2.91,30,40
No,0,No,1.18,No,No,No,16.11,No,No,No,No,No,27.1,19.91,No,55.9,No,No,No,No,2014-02-14,0,No,No,8.95,220,230
No,0,No,0,No,No,No,21.03,No,No,No,No,No,34,25.05,No,66.9,No,No,No,No,2014-02-23,0,No,No,6.49,230,220
No,0,No,0,No,No,No,10.07,No,No,No,No,No,32,14.99,No,48.9,No,No,No,No,2014-02-26,0,No,No,3.58,40,40
No,0.2,No,0,No,No,No,25.05,No,No,No,No,No,20.1,36.91,No,61,No,No,No,No,2014-03-03,0.36,No,No,10.96,30,30
No,0,No,0,No,No,No,17,No,No,No,No,Yes,27.1,21.92,No,68,No,No,No,No,2014-03-08,0,No,No,4.25,230,240
No,0,No,0,No,No,No,16.11,No,No,No,No,No,44.1,21.92,No,79,No,No,No,No,2014-03-11,0,No,No,5.14,240,230
No,0,No,0,No,No,No,14.09,No,No,No,No,Yes,35.1,17,No,46.9,No,No,No,No,2014-03-19,0.04,No,No,5.37,230,230
No,0,No,0,No,No,No,17,No,No,No,No,No,32,21.03,No,69.1,No,No,No,No,2014-03-21,0,No,No,5.37,230,230
No,0,No,0,No,No,No,18.12,No,No,No,No,No,46,25.05,No,75.9,No,No,No,No,2014-03-22,0,No,No,8.05,220,230
No,0,No,0,No,No,No,12.97,No,No,No,No,Yes,33.1,19.91,No,45,No,No,No,No,2014-03-25,0.03,No,No,5.82,120,320
No,0,No,0,No,No,No,17,No,No,No,No,No,29.1,27.96,No,46.9,No,No,No,No,2014-03-26,0,No,No,6.93,280,290
No,0,No,0,No,No,No,17,No,No,No,No,No,24.3,29.08,No,59,No,No,No,No,2014-03-27,0,No,No,6.93,210,220
No,0,No,0,No,No,No,25.05,No,No,No,No,Yes,42.1,36.91,No,62.1,No,No,No,No,2014-03-30,0.23,No,No,10.51,250,270
No,0,No,0,No,No,No,16.11,No,No,No,No,No,51.1,21.03,No,84,No,No,No,No,2014-04-27,0,No,No,5.14,130,130
No,0,No,0,No,No,No,19.91,No,No,No,No,No,48.9,29.08,No,82.9,No,No,No,No,2014-05-04,0,No,No,5.59,240,240
No,0,No,0,No,No,No,23.04,No,No,No,No,No,64,29.08,No,86,No,No,No,No,2014-05-10,0,No,No,8.95,230,220
No,0,No,0,No,No,No,16.11,No,No,No,No,No,46.9,23.04,No,71.1,No,No,No,No,2014-05-17,0,No,No,5.37,270,320
No,0,No,0,No,No,No,12.08,No,No,No,No,Yes,45,17,No,73,No,No,No,No,2014-05-19,0,No,No,2.01,40,130
No,0,No,0,No,No,No,25.05,No,No,No,No,No,66,40.94,No,90,No,No,No,No,2014-05-27,0.22,No,No,5.82,300,280
No,0,No,0,No,No,No,14.09,No,No,No,No,Yes,57,18.12,No,89.1,No,No,No,No,2014-06-03,0.05,No,No,4.03,230,330
No,0,No,0,No,No,No,18.12,No,No,No,No,No,72,25.95,No,91,No,No,No,No,2014-06-05,0,No,No,7.61,230,270
No,0,No,0,No,No,No,12.08,No,No,No,No,No,68,16.11,No,82.9,No,No,No,No,2014-06-06,0,No,No,5.82,80,130
No,0,No,0,No,No,No,18.12,Yes,No,No,No,No,70,23.04,No,96.1,No,No,No,No,2014-06-17,0,No,No,7.16,220,210
No,0,No,0,No,No,No,14.99,No,No,No,No,No,73,19.91,No,93,No,No,No,No,2014-06-25,0,No,No,6.71,230,260
No,0,No,0,No,No,No,17,No,No,No,No,No,75.9,21.92,No,97,No,No,No,No,2014-07-02,0,No,No,9.84,190,200
No,0,No,0,No,No,No,12.08,No,No,No,No,No,71.1,21.03,No,88,No,No,No,No,2014-07-04,0,No,No,6.04,260,340
No,0,No,0,No,No,No,14.99,No,No,No,No,No,61,18.12,No,82.9,No,No,No,No,2014-07-05,0,No,No,4.92,50,80
No,0,No,0,No,No,No,14.99,No,No,No,No,No,61,17,No,90,No,No,No,No,2014-07-06,0,No,No,5.82,240,190
No,0,No,0,No,No,No,14.99,No,No,No,No,Yes,71.1,19.91,No,93.9,No,No,No,No,2014-07-13,0,No,No,7.16,180,190
No,0,No,0,No,No,No,8.05,No,No,No,No,No,60.1,14.09,No,84,No,No,No,No,2014-07-17,0,No,No,2.24,350,40
No,0,No,0,No,No,No,17,No,No,No,No,No,71.1,23.04,No,91.9,No,No,No,No,2014-07-23,0,No,No,5.59,210,220
No,0,No,0,No,No,No,12.08,No,No,No,No,No,69.1,14.99,No,90,No,No,No,No,2014-07-26,0,No,No,3.13,220,240
No,0,No,0,No,No,No,21.03,No,No,No,No,No,72,25.05,No,87.1,No,No,No,No,2014-07-27,0.45,No,No,7.61,230,230
No,0,No,0,No,No,No,8.95,No,No,No,No,Yes,66,14.09,No,82,No,No,No,No,2014-07-31,0.08,No,No,2.68,120,90
No,0,No,0,No,No,No,12.08,No,No,No,No,Yes,64,14.09,No,70,No,No,No,No,2014-08-02,0.08,No,No,3.36,50,80
No,0,No,0,No,No,No,12.08,No,No,No,No,No,69.1,14.99,No,86,No,No,No,No,2014-08-07,0,No,No,4.47,50,60
No,0,No,0,No,No,No,12.97,No,No,No,No,Yes,64,21.03,No,73.9,No,No,No,No,2014-08-09,1.01,No,No,5.59,90,130
No,0,No,0,No,No,No,14.99,No,No,No,No,Yes,66,21.03,No,81,No,No,No,No,2014-08-10,0.56,No,No,6.71,100,110
No,0,No,0,No,No,No,14.99,No,No,No,No,Yes,70,19.91,No,84,No,No,No,No,2014-08-11,0.31,No,No,6.71,170,170
No,0,No,0,No,No,No,23.04,No,No,No,No,No,70,27.96,No,87.1,No,No,No,No,2014-08-12,2.45,No,No,4.92,230,240
No,0,No,0,No,No,No,12.97,No,No,No,No,No,66.9,21.03,No,82,No,No,No,No,2014-08-13,0,No,No,3.8,290,280
No,0,No,0,No,No,No,12.08,No,No,No,No,No,61,17,No,86,No,No,No,No,2014-08-15,0,No,No,2.68,220,270
No,0,No,0,No,No,No,12.08,No,No,No,No,No,68,14.09,No,89.1,No,No,No,No,2014-08-16,0,No,No,3.36,220,210
No,0,No,0,No,No,No,31.09,No,No,No,No,No,70,57.94,No,90,No,No,No,No,2014-08-20,1.06,No,No,2.24,300,320
No,0,No,0,No,No,No,14.09,No,No,No,No,No,72,17,No,84,No,No,No,No,2014-08-23,0.01,No,No,5.59,80,90
No,0,No,0,No,No,No,12.97,No,No,No,No,No,73,16.11,No,93,No,No,No,No,2014-09-01,0,No,No,4.7,230,270
No,0,No,0,No,No,No,16.11,No,No,No,No,Yes,68,23.94,No,73,No,No,No,No,2014-09-08,1.04,No,No,8.28,40,40
No,0,No,0,No,No,No,6.04,No,No,No,No,No,68,,No,81,No,No,No,No,2014-09-10,0,No,No,2.01,110,
No,0,No,0,No,No,No,12.97,No,No,No,No,Yes,70,17,No,80.1,No,No,No,No,2014-09-12,0.01,No,No,5.59,80,90
No,0,No,0,No,No,No,17,No,No,No,No,No,62.1,25.95,No,71.1,No,No,No,No,2014-09-14,0.03,No,No,6.26,50,40
No,0,No,0,No,No,No,10.07,No,No,No,No,Yes,59,18.12,No,81,No,No,No,No,2014-09-18,0.01,No,No,3.36,50,130
No,0,No,0,No,No,No,17,No,No,No,No,Yes,55,25.05,No,64,No,No,No,No,2014-09-24,3.18,No,No,9.62,30,40
No,0,No,0,No,No,No,6.93,No,No,No,No,Yes,64,8.95,No,73,No,No,No,No,2014-09-29,0.01,No,No,1.12,280,280
No,0,No,0,No,No,No,10.07,No,No,No,No,No,41,21.92,No,66,No,No,No,No,2014-10-05,0,No,No,3.13,220,280
No,0,No,0,No,No,No,14.09,No,No,No,No,No,51.1,23.04,No,73.9,No,No,No,No,2014-10-21,0,No,No,4.03,330,300
No,0,No,0,No,No,No,12.97,No,No,No,No,No,42.1,21.03,No,70,No,No,No,No,2014-10-23,0,No,No,4.25,290,270
No,0,No,0,No,No,No,14.99,No,No,No,No,No,50,21.03,No,84,No,No,No,No,2014-10-28,0,No,No,5.82,220,230
No,0,No,0,No,No,No,10.07,No,No,No,No,No,46.9,14.99,No,66.9,No,No,No,No,2014-10-30,0,No,No,3.36,40,30
No,0,No,0,No,No,No,17,No,No,No,No,No,37,27.96,No,53.1,No,No,No,No,2014-11-02,0,No,No,6.71,330,300
No,0,No,0,No,No,No,12.97,No,No,No,No,Yes,35.1,16.11,No,66,No,No,No,No,2014-11-10,0,No,No,2.46,90,100
No,0,No,0,No,No,No,14.09,No,No,No,No,No,23.2,21.03,No,43,No,No,No,No,2014-11-18,0,No,No,5.59,270,310
No,0,No,0,No,No,No,16.11,No,No,No,No,Yes,48,21.03,No,64.9,No,No,No,No,2014-11-25,0.1,No,Yes,5.37,220,220
No,0,No,0,No,No,No,10.07,No,No,No,No,Yes,39.9,17,No,54,No,No,No,No,2014-12-04,0,Yes,No,6.26,60,80
No,0,No,0,No,No,No,8.05,No,No,No,No,No,39.9,10.07,No,52,No,No,No,No,2014-12-05,0,No,No,2.46,90,50
No,0,No,0,No,No,No,23.94,No,No,No,No,No,35.1,36.91,No,53.1,No,No,No,No,2014-12-07,0,No,No,12.97,40,40
No,0,No,0,No,No,No,12.97,No,No,No,No,No,39,16.11,No,60.1,No,No,No,No,2014-12-17,0,No,No,3.58,250,230
No,0,No,0,No,No,No,17,No,No,No,No,Yes,35.1,23.94,No,64,No,No,No,No,2014-12-25,0.03,No,No,5.82,240,270
No,0,No,0,No,No,No,12.08,No,No,No,No,Yes,41,16.11,No,55,No,No,No,No,2014-12-29,0.72,Yes,No,6.71,30,50
No,0,No,0,No,No,No,14.99,No,No,No,No,No,32,21.92,No,55.9,No,No,No,No,2015-01-05,0,No,No,5.37,310,280
No,0,No,0,No,No,No,21.03,No,No,No,No,No,26.2,25.95,No,55,No,No,No,No,2015-01-06,0,No,No,4.7,230,230
No,0,No,0,No,No,No,6.93,No,No,No,No,No,17.2,12.08,No,48.9,No,No,No,No,2015-01-11,0,No,No,0.89,80,140
No,0,No,0,No,No,No,12.97,No,No,No,No,Yes,35.1,21.03,No,48.9,No,No,No,No,2015-01-24,0.14,No,No,5.82,310,330
No,0,No,0,No,No,No,18.12,No,No,No,No,No,30.2,25.95,No,51.1,No,No,No,No,2015-02-11,0,No,No,4.92,30,40
No,0.71,No,1.18,No,No,No,12.97,No,Yes,No,Yes,Yes,19.2,18.12,No,35.1,No,No,No,No,2015-02-17,0.39,No,No,4.7,40,20
No,0,No,0,No,No,No,14.99,No,No,No,No,Yes,30.2,19.91,No,46.9,No,No,No,No,2015-02-23,0.03,No,No,7.38,70,50
No,1.42,No,0,No,No,No,16.11,No,No,No,No,Yes,19.2,21.92,No,30.2,No,No,No,No,2015-02-24,0.09,No,No,4.47,90,90
No,0,No,0,No,No,No,23.04,No,No,No,No,Yes,32,29.08,No,66,No,No,No,No,2015-03-05,0.97,No,No,10.51,40,40
No,0,No,0,No,No,No,21.03,No,No,No,No,No,50,25.05,No,75,No,No,No,No,2015-03-10,0,No,No,6.93,220,220
No,0,No,0,No,No,No,16.11,No,No,No,No,Yes,59,18.12,No,75.9,No,No,No,No,2015-03-11,0.11,No,No,5.14,240,360
No,0,No,0,No,No,No,17,No,No,No,No,No,46.9,29.08,No,82,No,No,No,No,2015-03-17,0,No,No,6.04,330,340
No,0,No,0,No,No,No,12.97,No,No,No,No,Yes,46.9,17,No,66,No,No,No,No,2015-03-22,0,No,No,4.25,140,140
No,0,No,0,No,No,No,17,No,No,No,No,No,43,23.04,No,57.9,No,No,No,No,2015-03-23,0,No,No,8.5,50,60
No,0,No,0,No,No,No,18.12,No,No,No,No,No,36,27.96,No,66.9,No,No,No,No,2015-03-24,0,No,No,5.14,110,120
No,0,No,0,No,No,No,17,No,No,No,No,No,32,23.04,No,46,No,No,No,No,2015-03-28,0,No,No,6.26,290,310
No,0,No,0,No,No,No,14.09,No,No,No,No,No,22.1,19.91,No,52,No,No,No,No,2015-03-29,0,No,No,4.7,240,230
No,0,No,0,No,No,No,16.11,No,No,No,No,No,46.9,21.03,No,66,No,No,No,No,2015-04-01,0,No,No,6.71,40,80
No,0,No,0,No,No,No,16.11,No,No,No,No,No,33.1,21.92,No,68,No,No,No,No,2015-04-05,0,No,No,4.7,230,200
No,0,No,0,No,No,No,29.97,No,No,No,No,Yes,62.1,38.03,No,84,No,No,No,No,2015-04-08,0,No,Yes,5.82,40,30
No,0,No,0,No,No,No,23.94,Yes,No,No,No,Yes,57,27.96,No,78.1,No,No,No,No,2015-04-09,0.53,No,Yes,5.82,90,90
No,0,No,0,No,No,No,12.97,No,No,No,No,No,52,19.91,No,75,No,No,No,No,2015-04-11,0,No,No,3.8,280,20
No,0,No,0,No,No,No,19.91,No,No,No,No,No,46.9,27.96,No,73,No,No,No,No,2015-04-12,0,No,No,7.61,90,90
No,0,No,0,No,No,No,10.07,No,No,No,No,No,48,18.12,No,66,No,No,No,No,2015-04-16,0.05,No,No,4.47,50,110
No,0,No,0,No,No,No,12.08,No,No,No,No,Yes,61,16.11,No,80.1,No,No,No,No,2015-04-18,0.01,No,No,3.13,130,140
No,0,No,0,No,No,No,21.92,Yes,No,No,No,Yes,63,29.08,No,78.1,No,No,No,No,2015-04-20,0.28,No,No,11.86,180,170
No,0,No,0,No,No,No,16.11,No,No,No,No,Yes,51.1,21.03,No,61,No,No,No,No,2015-05-01,0.58,No,No,4.47,50,10
No,0,No,0,No,No,No,12.08,No,No,No,No,Yes,46.9,14.99,No,79,No,No,No,No,2015-05-03,0,No,No,2.68,200,210
No,0,No,0,No,No,No,16.11,No,No,No,No,No,55.9,19.91,No,82,No,No,No,No,2015-05-05,0,No,No,7.38,240,230
No,0,No,0,No,No,No,12.08,No,No,No,No,No,57.9,16.11,No,80.1,No,No,No,No,2015-05-13,0,No,No,3.58,330,10
No,0,No,0,No,No,No,14.09,No,No,No,No,No,66,16.11,No,87.1,No,No,No,No,2015-05-29,0,No,No,4.03,140,140
No,0,No,0,No,No,No,16.11,Yes,No,No,No,Yes,73.9,21.03,No,96.1,No,No,No,No,2015-06-17,0.51,No,No,3.8,80,160
No,0,No,0,No,No,No,23.04,Yes,No,No,No,Yes,71.1,29.97,No,98.1,No,No,No,No,2015-06-18,2.1,No,No,5.59,90,90
No,0,No,0,No,No,No,14.09,Yes,No,No,No,Yes,72,19.91,No,95,No,No,No,No,2015-06-19,0.23,No,No,4.7,100,110
No,0,No,0,No,No,No,17,No,No,No,No,No,75.9,21.92,No,98.1,No,No,No,No,2015-06-23,0,No,No,8.28,220,230
No,0,No,0,No,No,No,14.09,No,No,No,No,No,73.9,17,No,95,No,No,No,No,2015-06-24,0,No,No,4.92,220,230
No,0,No,0,No,No,No,19.91,Yes,No,No,No,Yes,71.1,25.05,No,91.9,No,No,No,No,2015-06-25,0.31,No,No,5.82,230,230
No,0,No,0,No,No,No,18.12,Yes,No,No,No,Yes,70,29.97,No,88,No,No,No,No,2015-06-27,0.99,No,No,8.28,210,210
No,0,No,0,No,No,No,23.04,Yes,No,No,No,Yes,66.9,27.96,No,91.9,No,No,No,No,2015-06-30,0.02,No,No,6.71,240,240
No,0,No,0,No,No,No,17,No,No,No,No,No,70,23.94,No,89.1,No,No,No,No,2015-07-06,0,No,No,8.05,230,230
No,0,No,0,No,No,No,16.11,No,No,No,No,Yes,68,19.91,No,86,No,No,No,No,2015-07-24,0,No,No,5.14,50,40
No,0,No,0,No,No,No,14.09,No,No,No,No,No,73,19.91,No,90,No,No,No,No,2015-07-28,0,No,No,4.03,170,150
No,0,No,0,No,No,No,12.97,No,No,No,No,No,71.1,17,No,91,No,No,No,No,2015-07-31,0,No,No,3.8,40,30
No,0,No,0,No,No,No,12.97,No,No,No,No,Yes,64.9,14.09,No,93,No,No,No,No,2015-08-01,0,No,No,1.57,240,270
No,0,No,0,No,No,No,14.99,No,No,No,No,No,69.1,21.03,No,95,No,No,No,No,2015-08-03,0,No,No,6.26,220,220
No,0,No,0,No,No,No,14.99,No,No,No,No,No,73,23.04,No,97,No,No,No,No,2015-08-05,0,No,No,3.13,240,240
No,0,No,0,No,No,No,12.08,No,No,No,No,Yes,70,14.99,No,75,No,No,No,No,2015-08-07,0.02,No,No,5.82,40,10
No,0,No,0,No,No,No,12.08,No,No,No,No,No,63,18.12,No,88,No,No,No,No,2015-08-13,0,No,No,2.46,80,100
No,0,No,0,No,No,No,17,Yes,No,No,No,Yes,72,29.08,No,91.9,No,No,No,No,2015-08-24,0.89,No,No,3.58,250,180
No,0,No,0,No,No,No,12.08,No,No,No,No,No,60.1,16.11,No,86,No,No,No,No,2015-08-29,0,No,No,2.01,110,140
No,0,No,0,No,No,No,8.05,No,No,No,No,Yes,66.9,12.08,No,91,No,No,No,No,2015-09-01,0,Yes,No,1.12,40,40
No,0,No,0,No,No,No,18.12,Yes,No,No,No,Yes,68,23.94,No,93.9,No,No,No,No,2015-09-02,0.1,No,No,3.36,50,30
No,0,No,0,No,No,No,8.95,No,No,No,No,No,60.1,14.99,No,84,No,No,No,No,2015-09-17,0,No,No,1.57,90,130
No,0,No,0,No,No,No,18.12,No,No,No,No,No,66,25.05,No,79,No,No,No,No,2015-09-22,0,No,No,9.4,40,50
No,0,No,0,No,No,No,18.12,No,No,No,No,Yes,64,25.95,No,77,No,No,No,No,2015-09-27,0.03,No,Yes,10.96,40,40
No,0,No,0,No,No,No,19.91,No,No,No,No,Yes,57.9,25.95,No,66,No,No,No,No,2015-10-01,0.34,No,No,10.74,50,50
No,0,No,0,No,No,No,21.03,No,No,No,No,No,60.1,25.05,No,82,No,No,No,No,2015-10-09,0,No,No,8.5,240,230
No,0,No,0,No,No,No,12.97,No,No,No,No,No,51.1,17,No,78.1,No,No,No,No,2015-10-12,0,No,No,2.91,230,220
No,0,No,0,No,No,No,17,No,No,No,No,No,60.1,23.04,No,79,No,No,No,No,2015-10-13,0,No,No,9.4,230,220
No,0,No,0,No,No,No,14.99,No,No,No,No,No,52,19.91,No,77,No,No,No,No,2015-10-14,0,No,No,2.46,240,230
No,0,No,0,No,No,No,8.05,No,No,No,No,Yes,46.9,12.08,No,68,No,No,No,No,2015-10-16,0.01,No,No,2.24,350,360
No,0,No,0,No,No,No,18.12,No,No,No,No,No,52,23.04,No,64,No,No,No,No,2015-10-26,0,No,No,9.84,50,40
No,0,No,0,No,No,No,12.97,No,No,No,No,Yes,57,17,No,73.9,No,No,No,No,2015-10-29,0.05,No,No,6.71,250,300
No,0,No,0,No,No,No,8.95,No,No,No,No,No,39.9,12.08,No,66,No,No,No,No,2015-10-31,0,No,No,3.13,60,130
No,0,No,0,No,No,No,8.95,No,No,No,No,Yes,59,12.97,No,70,No,No,No,No,2015-11-04,0,No,No,3.13,60,60
No,0,No,0,No,No,No,16.11,No,No,No,No,No,44.1,23.04,No,66,No,No,No,No,2015-11-13,0,No,No,5.82,300,270
No,0,No,0,No,No,No,12.97,No,No,No,No,No,34,18.12,No,60.1,No,No,No,No,2015-11-14,0,No,No,3.36,320,300
No,0,No,0,No,No,No,8.05,No,No,No,No,No,36,12.08,No,64.9,No,No,No,No,2015-11-16,0,No,No,0.67,230,220
No,0,No,0,No,No,No,10.07,No,No,No,No,No,39,12.97,No,70,No,No,No,No,2015-11-26,0,No,No,3.36,90,100
No,0,No,0,No,No,No,10.07,No,No,No,No,Yes,50,14.09,No,73,No,No,No,No,2015-12-13,0,No,No,2.91,220,210
No,0,No,0,No,No,No,18.12,No,No,No,No,No,48,25.05,No,72,No,No,No,No,2015-12-15,0,No,No,5.59,240,240
No,0,No,0,No,No,No,14.09,No,No,No,No,Yes,51.1,21.92,No,59,No,No,No,No,2015-12-17,0.89,Yes,No,2.01,300,310
No,0,No,0,No,No,No,21.03,No,No,No,No,No,26.2,25.95,No,48,No,No,No,No,2015-12-19,0,No,No,6.71,240,240
No,0,No,0,No,No,No,17,No,No,No,No,Yes,64.9,21.03,No,73.9,No,No,No,No,2015-12-25,0,No,No,8.05,230,230
No,0,No,0,No,No,No,14.99,Yes,No,No,No,Yes,63,23.94,No,66.9,No,No,No,No,2015-12-30,1.79,No,No,5.14,290,290
No,0,No,0,No,No,No,10.07,No,No,No,No,No,31.1,14.09,No,53.1,No,No,No,No,2016-01-03,0,No,No,3.36,260,260
No,0,No,0,No,No,No,12.08,No,No,No,No,No,27.1,18.12,No,43,No,No,No,No,2016-01-13,0,No,No,3.36,240,230
No,0,No,0,No,No,No,25.05,No,No,No,No,Yes,35.1,31.09,No,51.1,No,No,No,No,2016-01-15,0.37,No,No,5.59,90,90
No,0,No,0,No,No,No,14.09,No,No,No,No,No,18.1,23.04,No,32,No,No,No,No,2016-01-19,0,No,No,4.47,300,290
No,1.18,No,0,No,No,No,25.05,No,Yes,No,Yes,Yes,25.2,36.01,No,32,No,No,No,No,2016-01-22,0.95,No,No,12.3,60,40
No,0,No,1.18,No,No,No,10.07,No,No,No,No,No,28.2,16.11,No,46.9,No,No,No,No,2016-01-24,0,No,No,2.46,320,310
No,0,No,0,No,No,No,14.99,No,No,No,No,No,26.2,19.91,No,55.9,No,No,No,No,2016-01-30,0,No,No,5.37,230,200
No,0,No,0,No,No,No,14.99,No,No,No,No,No,37,23.04,No,44.1,No,No,No,No,2016-02-07,0,No,No,6.93,20,20
No,0,No,0,No,No,No,16.11,No,No,No,No,No,26.2,21.92,No,53.1,No,No,No,No,2016-02-19,0,No,No,6.49,210,190
No,0,No,0,No,No,No,29.97,No,No,No,No,No,39.9,38.92,No,55,No,No,No,No,2016-02-25,0,No,No,14.09,240,250
No,0,No,0,No,No,No,12.97,No,No,No,No,Yes,35.1,23.94,No,52,No,No,No,No,2016-03-04,0.08,No,No,5.37,20,30
No,0,No,0,No,No,No,17,No,No,No,No,No,57,23.94,No,86,No,No,No,No,2016-03-16,0,No,No,5.37,260,230
No,0,No,0,No,No,No,21.03,No,No,No,No,No,46,25.05,No,77,No,No,No,No,2016-03-17,0,No,No,4.03,230,240
No,0,No,0,No,No,No,23.94,No,No,No,No,No,48,31.99,No,77,No,No,No,No,2016-03-23,0,No,No,15.43,240,230
No,0,No,0,No,No,No,16.11,No,No,No,No,No,42.1,21.03,No,69.1,No,No,No,No,2016-03-30,0,No,No,6.93,180,180
No,0,No,0,No,No,No,25.05,No,No,No,No,No,46,31.99,No,75.9,No,No,No,No,2016-04-04,0,No,No,12.08,230,240
No,0,No,0,No,No,No,12.08,No,No,No,No,No,29.1,18.12,No,60.1,No,No,No,No,2016-04-10,0,No,No,5.14,190,110
No,0,No,0,No,No,No,19.91,No,No,No,No,No,45,23.04,No,64,No,No,No,No,2016-04-13,0,No,No,9.17,50,50
No,0,No,0,No,No,No,19.91,No,No,No,No,No,57,25.95,No,75,No,No,No,No,2016-04-20,0,No,No,9.4,80,80
No,0,No,0,No,No,No,17,Yes,No,No,No,Yes,64,21.92,No,87.1,No,No,No,No,2016-04-27,0.52,No,No,7.83,230,230
No,0,No,0,No,No,Yes,14.99,Yes,No,No,No,Yes,63,19.91,No,79,No,No,No,No,2016-05-03,0.44,No,No,4.47,210,210
No,0,No,0,No,No,No,6.93,Yes,No,No,No,Yes,57.9,10.07,No,81,No,No,No,No,2016-05-09,0.12,No,No,1.34,240,240
No,0,No,0,No,No,No,14.99,No,No,No,No,Yes,63,18.12,No,82.9,No,No,No,No,2016-05-11,0,No,Yes,5.37,230,220
No,0,No,0,No,No,No,17,No,No,No,No,No,48,23.94,No,66.9,No,No,No,No,2016-05-15,0,No,No,5.14,250,240
No,0,No,0,No,No,No,12.97,No,No,No,No,Yes,57,17,No,64,No,No,No,No,2016-05-18,0.1,No,No,5.82,40,30
No,0,No,0,No,No,No,14.09,No,No,No,No,Yes,51.1,21.03,No,68,No,No,No,No,2016-05-23,0.02,No,No,2.68,50,40
No,0,No,0,No,No,No,12.97,No,No,No,No,No,68,18.12,No,88,No,No,No,No,2016-05-27,0,No,No,7.38,240,210
No,0,No,0,No,No,No,8.05,No,No,No,No,No,70,10.07,No,88,No,No,No,No,2016-06-02,0,No,No,0.89,130,130
No,0,No,0,No,No,No,17,Yes,No,No,No,Yes,69.1,23.94,No,91.9,No,No,No,No,2016-06-04,0.61,No,No,4.25,300,300
No,0,No,0,No,No,No,12.97,No,No,No,No,No,62.1,16.11,No,84.9,No,No,No,No,2016-06-13,0,No,No,3.13,40,300
No,0,No,0,No,No,No,33.11,Yes,No,No,No,Yes,70,40.94,No,91,No,No,No,No,2016-06-15,0.45,No,No,3.58,240,230
No,0,No,0,No,No,No,14.99,Yes,No,No,No,Yes,73,19.91,No,91.9,No,No,No,No,2016-06-16,0,No,No,5.59,40,40
No,0,No,0,No,No,No,23.04,No,No,No,No,No,59,29.97,No,82,No,No,No,No,2016-06-18,0,No,No,9.62,80,80
No,0,No,0,No,No,No,12.97,No,No,No,No,No,55.9,25.05,No,84,No,No,No,No,2016-06-19,0,No,No,2.24,70,110
No,0,No,0,No,No,No,36.91,Yes,No,No,No,Yes,69.1,55.03,No,89.1,No,No,No,No,2016-06-29,0.91,No,Yes,4.7,50,20
No,0,No,0,No,No,No,14.99,No,No,No,No,Yes,69.1,18.12,No,88,No,No,No,No,2016-06-30,0.01,No,No,4.03,170,180
No,0,No,0,No,No,No,14.99,No,No,No,No,Yes,72,18.12,No,89.1,No,No,No,No,2016-07-01,0,No,No,5.82,240,240
No,0,No,0,No,No,No,17,Yes,No,No,No,Yes,71.1,35.12,No,88,No,No,No,No,2016-07-02,1.66,No,No,4.25,310,290
No,0,No,0,No,No,No,14.99,No,No,No,No,Yes,69.1,18.12,No,84.9,No,No,No,No,2016-07-04,0.02,Yes,Yes,4.25,180,180
No,0,No,0,No,No,No,31.09,Yes,No,No,No,Yes,73,38.92,No,95,No,No,No,No,2016-07-05,0.42,No,No,6.71,240,240
No,0,No,0,No,No,No,17,No,No,No,No,No,72,25.05,No,91,No,No,No,No,2016-07-06,0,No,No,6.04,250,20
No,0,No,0,No,No,No,21.92,Yes,No,No,No,Yes,71.1,36.01,No,93.9,No,No,No,No,2016-07-08,0.25,No,No,6.04,20,20
No,0,No,0,No,No,No,12.08,No,No,No,No,No,72,12.97,No,95,No,No,No,No,2016-07-23,0,No,No,4.47,210,220
No,0,No,0,No,No,No,14.99,Yes,No,No,No,No,77,19.91,No,96.1,No,No,No,No,2016-07-25,0,No,No,8.72,220,210
No,0,No,0,No,No,No,12.97,No,No,No,No,No,73,17,No,91,No,No,No,No,2016-08-01,0.04,No,No,5.82,220,210
No,0,No,0,No,No,No,14.99,No,No,No,No,Yes,73,19.91,No,88,No,No,No,No,2016-08-03,0,No,No,8.72,90,80
No,0,No,0,No,No,No,12.08,No,No,No,No,No,73.9,14.99,No,91.9,No,No,No,No,2016-08-11,0,No,No,4.03,150,160
No,0,No,0,No,No,No,14.09,No,No,No,No,No,75,17,No,95,No,No,No,No,2016-08-16,0,No,No,7.61,240,170
No,0,No,0,No,No,No,12.97,No,No,No,No,No,64.9,17,No,89.1,No,No,No,No,2016-08-23,0,No,No,4.47,80,80
